BugID,Tm252,Tm252,Tm057,Tm057,Tm165,Tm165,Tm062,Tm062,Tm095,Tm095,Dd053,Dd053,Tm097,Tm097,Tm263,Tm263,Dd206,Dd206,
SP1-1-MP1-100-2021-11-19-16-07-18-A01,72,78,188,194,181,181,154,154,142,148,,,,,,,,,
SP1-2-MP1-100-2021-11-19-16-07-18-B01,75,84,188,215,178,181,154,154,145,154,148,148,137,137,190,202,148,154,
SP1-3-MP1-100-2021-11-19-16-07-18-C01,75,78,188,197,178,181,154,154,142,142,148,148,140,140,190,196,151,154,
SP1-4-MP1-100-2021-11-19-16-07-18-D01,69,93,188,188,178,181,154,154,133,133,148,148,140,140,196,202,151,151,
SP1-5-MP1-100-2021-11-19-16-07-18-E01,75,81,188,206,178,178,154,154,145,145,151,151,,,199,208,151,154,
SP1-6-MP1-100-2021-11-19-16-07-18-F01,75,75,197,209,178,181,154,154,133,139,148,151,137,143,190,202,154,157,
SP1-7-MP1-100-2021-11-19-16-07-18-G01,84,87,203,209,178,178,154,157,133,136,151,151,137,140,190,190,145,160,
SP1-8-MP1-100-2021-11-19-16-07-18-H01,75,84,176,182,175,178,154,160,133,145,148,148,137,137,196,196,154,157,
SP1-9-MP1-100-2021-11-19-16-07-18-A02,75,78,215,218,172,178,145,154,136,136,151,151,134,143,190,196,151,154,
SP1-10-MP1-100-2021-11-19-16-07-18-B02,75,135,182,188,178,181,145,154,136,136,151,151,131,137,196,196,145,154,
SP1-11-MP1-100-2021-11-19-16-07-18-C02,84,87,197,206,175,181,154,154,133,142,148,148,140,149,190,196,148,151,
SP2-1-MP1-50-2022-01-17-13-20-49-A01,78,78,182,182,178,178,133,154,133,139,148,148,137,143,190,196,145,151,
SP2-2-MP1-50-2022-01-17-13-20-49-B01,75,84,182,224,172,181,154,154,133,139,148,148,137,137,190,190,151,157,
SP2-3-MP1-50-2022-01-17-13-20-49-C01,72,75,200,218,172,178,157,166,133,139,148,148,140,140,193,196,151,154,
SP2-4-MP1-50-2022-01-17-13-20-49-D01,84,99,215,215,178,178,154,166,133,139,151,151,137,140,190,190,151,154,
SP2-5-MP1-50-2022-01-17-13-20-49-E01,84,93,191,218,178,181,154,154,136,154,,,,,196,196,151,151,
SP2-6-MP1-50-2022-01-17-13-20-49-F01,72,78,188,197,178,178,154,154,133,154,151,151,137,140,190,196,151,151,
SP2-7-MP1-50-2022-01-17-13-20-49-G01,75,87,182,188,178,181,133,154,133,136,148,148,134,137,190,196,151,151,
SP2-8-MP1-50-2022-01-17-13-20-49-H01,75,84,188,197,175,178,154,154,136,148,151,151,137,137,184,196,154,154,
SP2-9-MP1-50-2022-01-17-13-20-49-A02,84,84,194,248,178,181,154,157,139,148,151,172,140,143,190,190,151,154,
SP2-10-MP1-50-2022-01-17-13-20-49-B02,78,84,188,218,178,187,145,154,136,154,148,172,131,134,196,196,151,154,
SP2-11-MP1-50-2022-01-17-13-20-49-C02,75,84,188,200,178,184,154,154,133,154,151,151,134,140,190,196,148,151,
SP3-1-MP1-50-2022-01-24-17-03-39-A01,75,75,209,212,,,154,154,,,148,148,137,140,190,190,151,154,
SP3-2-MP1-50-2022-01-24-17-03-39-B01,75,78,176,194,175,175,154,154,142,148,148,148,134,149,190,196,148,151,
SP3-3-MP1-50-2022-01-24-17-03-39-C01,75,75,194,218,169,178,154,154,133,154,148,148,134,143,190,196,145,157,
SP3-4-MP1-50-2022-01-24-17-03-39-D01,78,93,194,218,178,181,154,169,139,139,148,148,137,137,184,190,151,151,
SP3-5-MP1-50-2022-01-24-17-03-39-E01,75,87,191,194,178,181,154,154,133,139,148,148,137,137,190,190,151,154,
SP3-6-MP1-50-2022-01-24-17-03-39-F01,78,78,188,188,169,178,148,169,133,136,151,151,137,143,190,196,151,151,
SP3-7-MP1-50-2022-01-24-17-03-39-G01,75,75,197,203,178,181,154,163,127,136,148,151,137,149,190,196,151,154,
SP3-8-MP1-50-2022-01-24-17-03-39-H01,75,75,197,248,178,178,154,169,136,136,148,148,137,137,196,205,151,151,
SP3-9-MP1-50-2022-01-24-17-03-39-A02,,,,,,,,,,,151,151,134,140,196,205,151,151,
SP3-10-MP1-50-2022-01-24-17-03-39-B02,75,75,188,200,178,178,154,154,133,139,151,151,137,140,190,196,142,154,
SP3-11-MP1-50-2022-01-24-17-03-39-C02,75,75,188,197,178,178,154,154,136,139,148,148,140,143,184,196,151,151,
SP3-12-MP1-50-2022-01-24-17-03-39-D02,93,93,209,212,172,178,154,160,139,154,148,148,134,137,196,196,151,157,
SP3-13-MP1-50-2022-01-24-17-03-39-E02,84,84,185,200,178,178,154,154,133,142,148,151,140,143,196,196,151,151,
SP3-14-MP1-50-2022-01-24-17-03-39-F02,75,84,194,206,178,181,154,154,133,154,151,151,137,137,190,196,151,151,
SP4-1-MP1-50-2022-01-24-17-03-39-G02,78,78,191,197,181,181,139,157,133,136,151,151,140,140,190,199,151,157,
SP4-2-MP1-50-2022-01-24-17-03-39-H02,75,81,188,191,178,181,145,154,133,142,148,148,140,140,199,202,151,151,
SP4-3-MP1-50-2022-01-24-17-03-39-A03,78,78,182,206,175,181,154,160,136,157,151,151,137,137,190,196,142,151,
SP4-4-MP1-50-2022-01-24-17-03-39-B03,78,81,197,197,184,184,154,157,,,148,148,140,140,196,196,148,160,
SP4-5-MP1-50-2022-01-24-17-03-39-C03,75,78,188,191,175,178,154,166,136,139,148,172,137,140,184,196,151,151,
SP4-6-MP1-50-2022-01-24-17-03-39-D03,87,87,188,188,178,178,154,157,133,139,148,148,140,152,199,199,154,154,
SP4-7-MP1-50-2022-01-24-17-03-39-E03,81,84,197,197,181,181,154,154,133,151,148,148,137,137,190,208,148,151,
SP4-8-MP1-1-2022-02-12-15-12-34-E12,75,81,176,188,178,181,154,154,136,139,148,148,140,143,190,190,151,154,
SP4-9-MP1-1-2022-02-12-15-12-34-F12,81,81,188,197,178,178,154,154,136,139,151,151,137,137,190,208,151,151,
SP4-10-MP1-50-2022-01-24-17-03-39-H03,81,81,188,197,178,178,154,154,136,139,151,151,137,137,190,205,151,151,
SP4-11-MP1-50-2022-01-24-17-03-39-A04,,,,,,,,,,,148,148,140,161,196,196,145,151,
SP4-12-MP1-50-2022-01-24-17-03-39-B04,,,191,194,169,169,154,154,136,139,148,148,137,140,190,190,151,151,
SP4-13-MP1-50-2022-01-24-17-03-39-C04,78,78,182,191,181,184,154,154,136,139,148,148,131,161,190,196,151,157,
SP4-14-MP1-1-2022-02-12-15-12-34-G12,75,75,188,203,178,181,154,157,136,145,148,148,137,146,199,199,151,151,
SP4-15-MP1-50-2022-01-24-17-03-39-E04,,,,,,,,,,,148,148,131,140,190,196,148,151,
